a | 啊   | 哎   | 阿   | 爱   | 按   | 唉   | 安   | 俺   | 奥   | 案   | 吖   | 艾   | 昂   | 埃   | 暗   | 矮   | 岸   | 澳   | 挨   | 熬   | 嗄   | 傲   | 哀   | 锕   | 癌   | 嗷   | 庵   | 凹   | 敖   | 胺   | 氨   | 呵   | 欸   | 袄   | 腌   | 鞍   | 嗳   | 碍   | 铵   | 坳   | 
ai | 哎   | 爱   | 唉   | 艾   | 😔   | 埃   | 矮   | 挨   | 哀   | 癌   | 欸   | 嗳   | 碍   | 暧   | 蔼   | 霭   | 隘   | 嫒   | 瑷   | 皑   | 砹   | 锿   | 嗌   | 毐   | 乂   | 叆   | 硙   | 隑   | 娭   | 捱   | 溾   | 凒   | 啀   | 嘊   | 娾   | 嵦   | 敱   | 敳   | 溰   | 磑   | 
an | 按   | 安   | 俺   | 案   | 暗   | 岸   | 庵   | 胺   | 氨   | 鞍   | 铵   | 黯   | 谙   | 桉   | 唵   | 鹌   | 犴   | 盦   | 埯   | 广   | 玵   | 垾   | 婩   | 厂   | 侒   | 啽   | 媕   | 峖   | 痷   | 盫   | 腤   | 萻   | 葊   | 蓭   | 裺   | 誝   | 闇   | 鞌   | 韽   | 馣   | 
ang | 昂   | 盎   | 肮   | 卬   | 岇   | 枊   | 醠   | 昻   | 醃   | 骯   | 屽给  | 誝给  | 諳给  | 裺给  | 垵给  | 隌给  | 碪给  | 洝给  | 豻给  | 啽给  | 峖给  | 晻给  | 腤给  | 菴给  | 咹给  | 荌给  | 侒给  | 媕给  | 罯给  | 厈给  | 頇给  | 闇给  | 鞌给  | 鮟给  | 錌给  | 儑给  | 痷给  | 銨给  | 韽给  | 揞给  | 
ao | 奥   | 澳   | 熬   | 傲   | ┗|｀O′|┛ 嗷~~   | 嗷   | 凹   | 敖   | 袄   | 坳   | 鳌   | 拗   | 獒   | 啊哦   | 岙   | 翱   | 螯   | 鏊   | 遨   | 媪   | 骜   | 璈   | 懊   | 鏖   | 奡   | 廒   | 聱   | 隞   | 嶅   | 柪   | 梎   | 熝   | 爊   | 軪   | 鴢   | 厫   | 嗸   | 嚣   | 鷔   | 抝   | 
ba | 吧   | 把   | 八   | Ⅷ   | ⑧   | 巴   | 爸   | 拔   | 罢   | 霸   | 坝   | 扒   | 芭   | 捌   | 疤   | 靶   | 叭   | 跋   | 耙   | 钯   | 粑   | 灞   | 岜   | 笆   | 菝   | 魃   | 鲃   | 鲅   | 玐   | 羓   | 蚆   | 朳   | 胈   | 妭   | 鲌   | 丷   | 仈   | 哵   | 夿   | 峇   | 
bai | 白   | 百   | 拜   | 摆   | 柏   | 败   | 佰   | 掰   | 呗   | 稗   | 伯   | 捭   | 挀   | 栢   | 竡   | 粨   | 絔   | 襬   | 拝   | 猈   | 粺   | 薭   | 贁   | 韛   | 擺   | 唄   | 敗   | 颰i  | 壩i  | 豝i  | 犮i  | 覇i  | i  | 魞i  | 鮊i  | 叐i  | 罷i  | 釛i  | 紦i  | 垻i  | 
ban | 版   | 办   | 班   | 半   | 板   | 般   | 搬   | 斑   | 伴   | 扮   | 拌   | 颁   | 瓣   | 坂   | 扳   | 绊   | 阪   | 钣   | 癍   | 昄   | 瘢   | 攽   | 湴   | 柈   | 粄   | 舨   | 蝂   | 覂   | 魬   | 坢   | 埿   | 姅   | 怑   | 秚   | 跘   | 鉡   | 靽   | 斒   | 朌   | 籓   | 
bang | 帮   | 榜   | 棒   | 邦   | (๑•̀ㅂ•́)و✧   | 绑   | 磅   | 傍   | 蚌   | 浜   | 镑   | 谤   | 膀   | 梆   | 塝   | 蒡   | 棓   | 玤   | 搒   | 蚄   | 垹   | 幇   | 幚   | 捠   | 縍   | 邫   | 鞤   | 牓   | 髈   | 埲   | 挷   | 硥   | 稖   | 艕   | 蛖   | 蜯   | 幫   | 綁   | 謗   | 鎊   | 
bao | 包   | 报   | 宝   | 保   | 爆   | 堡   | 抱   | 薄   | 暴   | 鲍   | 煲   | 豹   | 饱   | 剥   | 曝   | 胞   | 葆   | 褒   | 苞   | 孢   | 鸨   | 雹   | 刨   | 褓   | 龅   | 瀑   | 趵   | 炮   | 枹   | 齙   | 笣   | 佨   | 勹   | 蕔   | 裦   | 襃   | 闁   | 窇   | 铇   | 堢   | 
bei | 被   | 呗   | 北   | 杯   | 背   | 备   | 贝   | 倍   | 悲   | 碑   | 辈   | 卑   | 蓓   | 钡   | 孛   | 陂   | 焙   | 悖   | 狈   | 邶   | 鹎   | 惫   | 碚   | 鞴   | 琲   | 糒   | 褙   | 鐾   | 椑   | 珼   | 臂   | 襬   | 柸   | 桮   | 箄   | 藣   |    | 鉳   | 俻   | 偝   | 
