a | 啊   | 錒   | 阿   | 吖   | 嗄   | 锕   | 腌   | 醃   | 呵   |
ai | 爱   | 哎   | 唉   | ε=(´ο｀*)))唉   | AI   | 矮   | 挨   | 艾   | 哀   | 癌   | 碍   | 埃   | 嗳   | 捱   | 暧   | 愛   | 僾   | 嫒   | 霭   | 蔼   | 瑷   | 嗌   | 薆   | 隘   | 懓   | 鑀   | 乂   | 皑   | 噯   | 欸   | 靉   | 娭   | 砹   | 瞹   | 皧   | 叆   | 嬡   | 曖   | 毐   | 璦   | 
an | 按   | 安   | 俺   | 暗   | an   | 案   | 岸   | 氨   | 庵   | 胺   | 鞍   | 黯   | 铵   | 桉   | 谙   | 唵   | 闇   | 垵   | 咹   | 荌   | 鹌   | 菴   | 侒   | 痷   | 犴   | 堓   | 埯   | 盦   | 鮟   | 偣   | 蓭   | 洝   | 銨   | 儑   | 諳   | 鞌   | 屵   | 广   | 揞   | 雸   | 
ang | 昂   | 盎   | 肮   | 阿牛哥   | 卬   | angel   | 岇   | 枊   | 骯   | 醠   | 唔   | 昻   | 安个   | 安个   | 㦹   | 㭿   | 㼜   | 䀚   | 䍩   | 䒢   | 䩕   | 䬓   | 䭹   | 䭺   | 按个  | 按个  | 安个  | an个  | 俺个  | 俺个  | 暗个  | 暗个  | 案个  | 案个  | 岸个  | 岸个  | 氨个  | 氨个  | 庵个  | 庵个  | 
ao | 奥   | 熬   | 傲   | ┗|｀O′|┛ 嗷~~   | 凹   | 澳   | 袄   | 嗷   | 敖   | 坳   | 啊哦   | 拗   | 鳌   | 獒   | 岙   | 翱   | 骜   | 懊   | 螯   | 艹   | 遨   | 媪   | 奡   | 奧   | 鏊   | 鏖   | 慠   | 垇   | 璈   | 廒   | 抝   | 翺   | 墺   | 嫯   | 謸   | 嶅   | 嚻   | 嶴   | 芺   | 滶   | 
ba | 吧   | 把   | 爸   | 八   | 巴   | Ⅷ   | ⑧   | 拔   | 罢   | 霸   | 扒   | 捌   | 坝   | 疤   | 靶   | 芭   | 叭   | 耙   | 粑   | 钯   | 跋   | 丷   | 笆   | 灞   | 抜   | 鲅   | 岜   | 魃   | 覇   | 垻   | 仈   | 玐   | 夿   | 犮   | 峇   | 菝   | 壩   | 鈀   | 鲃   | 朳   | 
bai | 白   | 百   | 拜   | 摆   | Baidu   | 败   | 呗   | 掰   | 佰   | 柏   | 伯   | 栢   | 絔   | 稗   | 唄   | 拝   | 敗   | 粨   | 贁   | 擘   | 捭   | 擺   | 挀   | 竡   | 薭   | 韛   | 襬   | 猈   | 粺   | 庍   | 瓸   | 㓦   | 㗑   | 㗗   | 㠔   | 㧳   | 㼟   | 㼣   | 㿟   | 䒔   | 
ban | 班   | 办   | 半   | 版   | ban   | 搬   | 般   | 板   | 伴   | 拌   | 不爱你   | 不爱你   | 扮   | 斑   | 瓣   | 扳   | 绊   | 坂   | 颁   | 比阿尼   | 比阿尼   | 阪   | 不安宁   | 不安宁   | 钣   | 癍   | 粄   | 湴   | 瘢   | 舨   | 絆   | 怑   | 辦   | 跘   | 昄   | 姅   | 蝂   | 鉡   | 坢   | 岅   | 
bang | bang   | 帮   | 棒   | (๑•̀ㅂ•́)و✧   | 绑   | 榜   | 邦   | 磅   | 傍   | 膀   | 浜   | 蚌   | 镑   | 梆   | 谤   | 蒡   | 塝   | 把那个   | 把那个   | 幇   | 挷   | 幚   | 搒   | 埲   | 幫   | 綁   | 蜯   | 牓   | 垹   | 鞤   | 硥   | 捠   | 謗   | 鎊   | 玤   | 棓   | 稖   | 縍   | 艕   | 蚄   | 
bao | 包   | 报   | 宝   | 抱   | 爆   | 保   | 饱   | 薄   | 暴   | 堡   | 煲   | 豹   | 鲍   | 胞   | 寳   | 曝   | 苞   | 葆   | 褒   | 孢   | 刨   | 剥   | 雹   | 寶   | 宀   | 鸨   | 瀑   | 犳   | 靌   | 龅   | 趵   | 褓   | 菢   | 铇   | 鮑   | 枹   | 炮   | 笣   | 嚗   | 賲   | 
bei | 被   | 呗   | 背   | 北   | being   | 倍   | 杯   | 备   | 贝   | 悲   | 辈   | 碑   | 蓓   | 卑   | 钡   | 焙   | 悖   | 狈   | 陂   | 惫   | 貝   | 碚   | 唄   | 珼   | 盃   | 孛   | 琲   | 苝   | 邶   | 偝   | 褙   | 軰   | 輩   | 垻   | 臂   | 偹   | 椑   | 鋇   | 棓   | 柸   | 
ben | 本   | 笨   | 奔   | (～￣(OO)￣)ブ   | Ben   | 苯   | 犇   | 包二奶   | 伯尔尼   | 贝尔纳   | 夲   | 贲   | 夯   | 锛   | 布尔诺   | 布尔诺   | 喯   | 坌   | 畚   | 泍   | 楍   | 撪   | 栟   | 倴   | 渀   | 賁   | 逩   | 桳   | 錛   | 捹   | 翉   | 輽   | 坋   | 奙   | 漰   | 炃   | 燌   | 獖   | 蟦   | 㡷   | 
